id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14175,10 Min To Manhattan - Nyc - Time Sq,55660,Julio,,Ward D (councilmember Michael Yun),40.75729,-74.03782,Entire home/apt,98,28,8,2022-06-27,0.19,1,315,2,
23686,West Village outdoor living private townhouse,93790,Ann,,Ward E (councilmember James Solomon),40.72961,-74.00308,Entire home/apt,600,5,55,2022-07-24,0.45,2,27,3,
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,,Ward E (councilmember James Solomon),40.73271,-74.00367,Entire home/apt,200,14,141,2022-06-01,0.96,1,226,5,
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,128,3,10,2019-10-12,0.07,1,83,0,
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,,Ward E (councilmember James Solomon),40.72012,-74.00397,Entire home/apt,514,30,109,2022-08-07,0.81,1,333,2,
71366,Beautiful One Bed West Village - 4 Month Special,364955,Ruperto,,Ward E (councilmember James Solomon),40.72997,-74.00196,Entire home/apt,225,30,44,2022-05-22,0.35,1,323,1,
133832,Fab Luxury Condo Private and Quiet,618991,Wendy,,Ward D (councilmember Michael Yun),40.76438,-74.03675,Entire home/apt,150,30,3,2022-08-31,0.03,1,352,1,
171455,Cozy Condo near NYC @ Great Value,818109,Dani,,Ward D (councilmember Michael Yun),40.74575,-74.03274,Private room,100,3,80,2022-08-29,0.60,2,41,14,
212109,2-bedroom share in heart of Greenwich Village!,666271,Susan,,Ward E (councilmember James Solomon),40.73814,-74.00811,Private room,89,30,11,2022-06-05,0.13,1,166,1,
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,121,6,154,2022-09-02,1.15,2,300,23,STR20-00055
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,,Ward E (councilmember James Solomon),40.74168,-74.00339,Private room,110,30,86,2020-01-18,0.65,1,321,0,
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71019,-74.06026,Entire home/apt,129,6,117,2022-09-10,0.89,2,327,4,STR20-00055
262583,Landmark 2 Bedroom West Village NYC,605463,West Village,,Ward E (councilmember James Solomon),40.73219,-74.00289,Entire home/apt,331,4,232,2022-08-28,1.77,1,156,30,
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,131,2,400,2022-08-17,3.04,12,345,28,
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,54,3,269,2022-08-23,2.05,12,316,30,
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,103,2,314,2022-09-03,2.47,12,313,39,
274789,Private Bedroom/Bathroom in Hoboken - Close to NYC,292712,David,,Ward E (councilmember James Solomon),40.73604,-74.03758,Private room,122,3,15,2019-10-22,0.13,1,21,0,
285549,"Stunning New 2BR Apt, 10 Min to NYC",1486294,Shira,,Ward D (councilmember Michael Yun),40.76697,-74.02658,Entire home/apt,225,4,179,2022-09-06,1.39,3,353,19,
337481,CITY MANSION CLOSE TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76206,-74.03619,Entire home/apt,443,30,153,2021-07-25,1.19,4,18,0,
424870,"Charming Home, Best West Village St",2076206,Dan,,Ward E (councilmember James Solomon),40.73615,-74.00713,Entire home/apt,200,30,43,2016-10-24,0.44,1,300,0,
435736,1 BEDROOM APT CLOSE TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76256,-74.03791,Entire home/apt,150,30,9,2014-06-23,0.07,4,332,0,
456190,"West Village Loft, 1st floor",2267864,Gary,,Ward E (councilmember James Solomon),40.73491,-74.0058,Entire home/apt,177,3,384,2022-09-15,3.09,1,38,62,
467866,"Our NY home, Greenwich Village apt",2321870,David,,Ward E (councilmember James Solomon),40.73054,-74.00613,Private room,100,2,226,2022-09-05,1.80,1,13,10,
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,139,28,58,2022-04-30,0.47,1,171,2,
532288,A Little West Village Charm,683230,Thomas,,Ward E (councilmember James Solomon),40.73328,-74.00069,Entire home/apt,295,30,113,2022-07-31,0.93,1,323,4,
571251,Gorgeous! New 3BR 2BT 10 Min to NYC,1486294,Shira,,Ward D (councilmember Michael Yun),40.7689,-74.02871,Entire home/apt,355,4,194,2022-09-02,1.60,3,327,29,
587740,Designer open space in TriBeCa Soho 1000sq ft,2899508,Tom & Jennifer,,Ward E (councilmember James Solomon),40.72215,-74.00416,Entire home/apt,184,30,19,2022-08-06,0.16,1,292,4,
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,90,3,355,2022-08-26,2.91,1,24,36,
698514,"SUNNY TOP FLOOR LOFT: Greenwich Village, NYC",3579116,Kristin,,Ward E (councilmember James Solomon),40.73124,-74.00374,Entire home/apt,275,30,9,2022-05-31,0.08,2,6,4,
729841,Gorgeous Apt Heart of West Villlage,73549,Melinda,,Ward E (councilmember James Solomon),40.7384,-74.0034,Entire home/apt,250,2,39,2022-09-03,0.35,1,0,11,
752289,Cozy Village apartment  near NYU,2285974,Cristiana,,Ward E (councilmember James Solomon),40.72734,-74.00094,Entire home/apt,200,4,17,2021-11-04,0.14,1,264,3,
777080,Prvt  Rm in lovely hse - 20mn 2 NY,1339635,Laura,,Ward D (councilmember Michael Yun),40.76154,-74.03058,Private room,32,30,21,2019-12-24,0.22,1,321,0,
783202,"Charming Apt off Bleecker, First Fl",4129805,Evelyn,,Ward E (councilmember James Solomon),40.73277,-74.00267,Entire home/apt,235,1,290,2022-09-12,2.43,6,33,26,
789302,"THE NEST - Style, luxe & simplicity",1119998,Edoardo,,Ward E (councilmember James Solomon),40.74222,-74.00381,Entire home/apt,255,60,8,2017-08-31,0.07,1,81,0,
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72832,-74.06308,Entire home/apt,100,28,4,2022-01-31,0.09,1,266,3,
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,95,3,146,2022-09-11,1.25,1,246,16,
818084,Gorgeous sunny prime SoHo 1BR Apt.,128256,Annie+Dan,,Ward E (councilmember James Solomon),40.72823,-74.00126,Entire home/apt,233,30,93,2022-08-09,0.81,1,347,1,
840594,Huge beautiful one bed West Village,4389865,Fiona,,Ward E (councilmember James Solomon),40.73095,-74.00657,Entire home/apt,400,30,9,2021-12-20,0.08,1,268,2,
850712,Cute Studio Greenwich Village NYC,4442608,Mario,,Ward E (councilmember James Solomon),40.73063,-74.00037,Entire home/apt,120,30,26,2022-08-13,0.25,1,131,4,
931793,CUTE APT 10 MINUTES TO TIMES SQUARE,1550683,Ruth & Henry,,Ward D (councilmember Michael Yun),40.76942,-74.0345,Entire home/apt,125,30,136,2021-07-19,1.18,4,264,0,
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,83,29,14,2022-09-03,0.19,4,274,4,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,85,29,23,2022-08-13,0.32,4,87,3,
951944,Quiet Studio in Prime SoHo,1408973,Dom,,Ward E (councilmember James Solomon),40.72579,-74.00168,Entire home/apt,220,3,94,2022-08-28,0.81,1,11,6,
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,146,5,281,2022-09-07,2.43,2,115,33,
